,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2019-08-22,91.4000015258789,91.47049713134766,90.00499725341797,90.23300170898438,90.23300170898438,53070000,59.689998626708984,59.93899917602539,58.945499420166016,59.57600021362305,59.57600021362305,17352000
2019-08-23,89.65149688720703,90.24500274658203,87.2614974975586,87.48100280761719,87.48100280761719,105416000,59.25849914550781,59.78350067138672,57.5,57.67900085449219,57.67900085449219,36254000
2019-08-26,88.34549713134766,88.5,87.17549896240234,88.44349670410156,88.44349670410156,61600000,57.97249984741211,58.59299850463867,57.74250030517578,58.558998107910156,58.558998107910156,21166000
2019-08-27,88.7864990234375,88.97000122070312,87.33399963378906,88.09149932861328,88.09149932861328,60394000,59.150001525878906,59.25,58.22800064086914,58.54100036621094,58.54100036621094,23460000
2019-08-28,87.75,88.39299774169922,87.20249938964844,88.2125015258789,88.2125015258789,48394000,58.243499755859375,58.92499923706055,58.01250076293945,58.6875,58.6875,16810000
2019-08-29,89.1500015258789,89.92749786376953,88.86250305175781,89.31999969482422,89.31999969482422,60302000,59.32099914550781,59.95949935913086,59.263999938964844,59.71200180053711,59.71200180053711,19636000
2019-08-30,89.87449645996094,89.98699951171875,88.22850036621094,88.81449890136719,88.81449890136719,61174000,60.01750183105469,60.01750183105469,59.2859992980957,59.5265007019043,59.5265007019043,18064000
2019-09-03,88.5,90.04000091552734,88.4000015258789,89.49199676513672,89.49199676513672,70860000,59.092498779296875,59.45399856567383,58.18550109863281,58.477500915527344,58.477500915527344,25908000
2019-09-04,90.25,90.38150024414062,89.8115005493164,90.03099822998047,90.03099822998047,46482000,58.97249984741211,59.24399948120117,58.576499938964844,59.11349868774414,59.11349868774414,21312000
2019-09-05,91.09750366210938,92.0999984741211,90.77899932861328,92.03600311279297,92.03600311279297,66216000,59.68299865722656,60.70000076293945,59.634498596191406,60.609500885009766,60.609500885009766,26394000
2019-09-06,91.91100311279297,92.03250122070312,91.31999969482422,91.67549896240234,91.67549896240234,49938000,60.457000732421875,60.647499084472656,60.16299819946289,60.316001892089844,60.316001892089844,18972000
2019-09-09,92.05000305175781,92.5,91.23049926757812,91.56749725341797,91.56749725341797,59990000,60.354000091552734,61.02750015258789,59.65850067138672,60.26350021362305,60.26350021362305,31854000
2019-09-10,91.13749694824219,91.29049682617188,90.26699829101562,91.02749633789062,91.02749633789062,52278000,59.804500579833984,60.5,59.800498962402344,60.28499984741211,60.28499984741211,27922000
